Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Cross_490920,Gen_8_Cross_490920__1,0.004257925287407208,1.4428916143916895e-05,295.0966825877848,-5.440536803749388
Gen_8_Cross_490920,Gen_8_Cross_490920__3,0.00835797503871473,1.7083570853870422e-05,489.2405171147906,-4.77477952646145
Gen_8_Cross_823851,Gen_8_Cross_823851__2,0.0004180829734116431,1.9014914803386492e-06,219.87107369904382,-7.744607242039887
Gen_8_Cross_451258,Gen_8_Cross_451258__3,887.9299942236012,4.7059609167699205e-05,18868197.376213208,6.788892544744618
Gen_8_Cross_509303,Gen_8_Cross_509303__5,1.2179367185566684e-05,2.1164602416720824e-07,57.54592949945769,-11.122487081458331
Gen_8_Cross_332074,Gen_8_Cross_332074__1,52501.59941005919,1.2186774232918459e-05,4308080088.022295,10.868598910546336
Gen_8_Cross_975485,Gen_8_Cross_975485__5,0.004997479795067927,1.1456700303328867e-06,4362.058588209605,-5.297607060532754
Gen_8_Cross_897709,Gen_8_Cross_897709__2,2.1523963065637604e-06,1.2751911298823975e-07,16.879009398083422,-12.31908247985633
Gen_8_Cross_815917,Gen_8_Cross_815917__4,6.087734668666359e-06,2.505849929223415e-07,24.29409118906415,-11.534450334033869
Gen_8_Cross_446984,Gen_8_Cross_446984__3,0.00012178945514952377,1.02930438241364e-05,11.832209910924192,-8.3108267143708
Gen_8_Cross_23528,Gen_8_Cross_23528__5,1.1611743738107653e-05,5.480883414541699e-08,211.85898074933974,-11.31010850139361
Gen_8_Mutant_18_629617,Gen_8_Mutant_18_629617__4,4.487103850270789e+32,0.0001296337184983118,3.461370932076768e+36,75.1839304472359
Gen_8_Cross_633008,Gen_8_Cross_633008__4,4.373373916425757e-05,4.1590092830141227e-07,105.15422348988554,-9.942835896907734
Gen_8_Cross_465751,Gen_8_Cross_465751__4,7.24889846654607e-05,1.9014914803386492e-06,38.12217168206857,-9.28842699607586
Gen_8_Cross_869707,Gen_8_Cross_869707__4,6.66541633469806e-06,7.683170161732237e-08,86.75346496810224,-11.78275925120586
Gen_8_Mutant_11_956270,Gen_8_Mutant_11_956270__1,6.21982059419527e-06,2.505849929223415e-07,24.821201468049793,-11.523508778484501
Gen_8_Cross_743763,Gen_8_Cross_743763__4,11602216.88073926,2.835394447994561e-05,409192339674.1277,16.26670674818613
Gen_8_Cross_897709,Gen_8_Cross_897709__4,5.2376287122753836e-06,7.683170161732237e-08,68.17015114883925,-11.983848505357006
Gen_8_Cross_474438,Gen_8_Cross_474438__5,8.178016988612357e-06,2.1164602416720824e-07,38.64006905299303,-11.418550251888153
Gen_8_Cross_332074,Gen_8_Cross_332074__3,91976.68385194743,1.2186774232918459e-05,7547254268.771423,11.429290386004508
Gen_8_Mutant_24_622399,Gen_8_Mutant_24_622399__5,288.21596821110916,6.902790951075892e-07,417535414.6661313,5.663710075166492
Gen_8_Mutant_17_417989,Gen_8_Mutant_17_417989__5,0.001007018809489437,4.629196545585792e-08,21753.641254435133,-6.900443778004163
Gen_8_Mutant_27_953149,Gen_8_Mutant_27_953149__1,3084.6768434386427,1.7875786982849592e-07,17256173652.092335,8.034202179475844
Gen_8_Mutant_8_460912,Gen_8_Mutant_8_460912__3,0.002531533179118328,6.201674817978091e-06,408.2015348143769,-5.9643189486621155
Gen_8_Mutant_21_583800,Gen_8_Mutant_21_583800__3,1.0632271330411746e-05,3.3022939796031453e-08,321.96622699501404,-11.416159087525324
Gen_8_Cross_970984,Gen_8_Cross_970984__4,2.8437410943935592e-06,1.680490097169955e-08,169.2209373433731,-12.695367645733459
Gen_8_Cross_131060,Gen_8_Cross_131060__5,1.3581392105710995e+42,5.571771015598962e-05,2.4375359410298744e+46,97.01468944109868
Gen_8_Cross_129083,Gen_8_Cross_129083__2,1.7303683675619296e-06,6.489264974597642e-08,26.665090335122564,-12.787612428636583
Gen_8_Cross_644806,Gen_8_Cross_644806__1,6.362934049988038e-06,1.2751911298823975e-07,49.897885116051974,-11.72994201686321
Gen_8_Cross_815917,Gen_8_Cross_815917__1,9.590670331706275e-06,9.096731904955463e-08,105.42984482681894,-11.446153234671067
Gen_8_Cross_124503,Gen_8_Cross_124503__4,23628.798929549863,8.693584466298958e-06,2717958170.320641,10.070221536980528
